"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"29772","5.347269","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29773","5.347269","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"29817","5.358116","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"29844","5.358247","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29845","5.358247","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29846","5.358247","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"29882","5.369047","10.1.0.6","10.1.0.11","TCP","1440","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=460001 Win=131072 Len=0 TSval=5375 TSecr=5337"
"29944","5.379962","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"29956","5.380075","10.1.0.11","10.1.0.6","TCP","850","","","talon-disc(7011)  >  49153 [ACK] Seq=1 Ack=166001 Win=131072 Len=0 TSval=5392 TSecr=5261"
"29996","5.385415","10.1.0.6","10.1.0.11","WebSocket","4800","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"30008","5.385519","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30009","5.385519","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30010","5.385519","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"30064","5.396309","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"30082","5.396458","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30083","5.396458","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30084","5.396458","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"30155","5.407356","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
